Document Type,Authors,Title,Journal,Year,Citations,Keywords,DOI,Affiliations,References
B,"['Barabasi, AL']",Network Science,NETWORK SCIENCE,2016,901,['PROTEIN-INTERACTION NETWORKS; SCALE-FREE NETWORKS; COMMUNITY STRUCTURE;'],GLOBAL NE,[],"['Adamic L. A., 2005, LINKKDD 05 P 3 INT W, P36, DOI [DOI 10.1145/1134271.1134277, 10.1145/1134271.1134277]']"
B,"['Barabási, AL']",Personal Introduction,NETWORK SCIENCE,2016,191,[],,"['Barabási, AL (corresponding author), Northeastern Univ, Network Sci, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Northeastern Univ, Ctr Complex Network Res, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Harvard Med Sch, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Cent European Univ, Budapest, Hungary.']",[]
J,"['Génois, M']",Data on face-to-face contacts in an office building suggest a low-cost,NETWORK SCIENCE,2015,147,"['complex networks; temporal networks; sociophysics; epidemiology', 'INFECTIOUS-DISEASE MODEL; SOCIAL NETWORKS; EPIDEMICS; IMMUNIZATION;']",10.1017/nws.2015.10,"['Génois, M (corresponding author), Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT,UMR 7332, F-13288 Marseille, France.']","['Ajelli M, 2014, SCI REP-UK, V4, DOI 10.1038/srep07218']"
J,"['Bothorel, C']","Clustering attributed graphs: Models, measures and methods",NETWORK SCIENCE,2015,136,"['attributed graph; multilayer network; clustering; community detection', 'WEB, DOI DOI 10.1145/1963405.1963481', ""'06, P73"", 'COMMUNITY STRUCTURE; MULTIPLEXITY; NETWORKS; EXCHANGE']",10.1017/nws.2015.9,"['Bothorel, C (corresponding author), Inst Mines Telecom, Telecom Bretagne, UMR CNRS Lab STICC 3192, Dept Log Uses Social Sci & Informat Sci, Brest, France.']","['Aggarwal CC, 2010, ADV DATABASE SYST, V40, P1, DOI 10.1007/978-1-4419-6045-0']"
J,"['Staudt, CL']",NetworKit: A tool suite for large-scale complex network analysis,NETWORK SCIENCE,2016,121,"['complex networks; network analysis; network science; parallel graph', ""WEB (WWW'13 COMPANION), P1343"", 'CENTRALITY', 'SKITT ROUT LEV']",10.1017/nws.2016.20,"['Staudt, CL (corresponding author), Karlsruhe Inst Technol, Inst Theoret Informat, D-76131 Karlsruhe, Germany.']","['Aiello W., 2000, Proceedings of the Thirty Second Annual ACM Symposium on Theory of Computing, P171, DOI 10.1145/335305.335326']"
J,"['Block, P']",Multidimensional homophily in friendship networks,NETWORK SCIENCE,2014,115,['homophily; network evolution; stochastic actor-oriented models;'],10.1017/nws.2014.17,"['Block, P (corresponding author), Univ Oxford Nuffield Coll, New Rd, Oxford OX1 1NF, England.']","['Alexander C, 2001, J ADOLESCENT HEALTH, V29, P22, DOI 10.1016/S1054-139X(01)00210-5']"
J,"['Rodriguez, MG']",Uncovering the structure and temporal dynamics of information,NETWORK SCIENCE,2014,87,['diffusion networks; information cascades; information propagation; meme'],10.1017/nws.2014.3,"['Rodriguez, MG (corresponding author), MPI Intelligent Syst, Dept Empir Inference, Tubingen, Baden Wurttembe, Germany.']","['Aalen OO, 2008, STAT BIOL HEALTH, P1']"
J,"['Neal, ZP']",How small is it? Comparing indices of small worldliness,NETWORK SCIENCE,2017,45,"['small world; clustering; path length', 'SMALL-WORLD; NETWORK; COLLABORATION; SCALE; UNDERSTAND']",10.1017/nws.2017.5,"['Neal, ZP (corresponding author), Michigan State Univ, Dept Psychol, 316 Phys Room 262, E Lansing, MI 48824 USA.']","['Aldrich HE, 2007, STRATEG ENTREP J, V1, P147, DOI 10.1002/sej.8']"
J,"['Leifeld, P']",A theoretical and empirical comparison of the temporal exponential,NETWORK SCIENCE,2019,43,"['p*; ERGM; TERGM; SAOM; temporal exponential random graph model;', 'STATISTICAL-ANALYSIS; NETWORKS; DYNAMICS; COEVOLUTION; FRIENDSHIP;']",10.1017/nws.2018.26,"['Leifeld, P (corresponding author), Univ Essex, Dept Govt, Wivenhoe Pk, Colchester CO4 3SQ, Essex, England.']","['[Anonymous], MODELS METHODS SOCIA']"
J,"['Elmer, T']",The co-evolution of emotional well-being with weak and strong friendship,NETWORK SCIENCE,2017,41,"['social networks; ordered stochastic actor-oriented models; emotional', 'SOCIAL RELATIONSHIPS; DEPRESSIVE SYMPTOMS; NEGATIVE AFFECT;']",10.1017/nws.2017.20,"['Elmer, T (corresponding author), Swiss Fed Inst Technol, Chair Social Networks, Dept Humanities Social & Polit Sci, Zurich, Switzerland.']","['Aharony N, 2011, PERVASIVE MOB COMPUT, V7, P643, DOI 10.1016/j.pmcj.2011.09.004']"
J,"['Schneider, J']",Network dynamics of HIV risk and prevention in a population-based cohort,NETWORK SCIENCE,2017,40,"['network; black MSM; HIV; prevention', 'PSYCHOSOCIAL HEALTH-PROBLEMS; SOCIAL SUPPORT; MARIJUANA USE; WHITE MEN;']",10.1017/nws.2016.27,"['Schneider, J (corresponding author), Univ Chicago, Dept Med, Chicago, IL 60637 USA.; Schneider, J (corresponding author), Univ Chicago, Dept Publ Hlth Sci, Chicago, IL 60637 USA.; Schneider, J (corresponding author), Univ Chicago, Chicago Ctr HIV Eliminat, Chicago, IL 60637 USA.; Schneider, J (corresponding author), NORC, Chicago, IL USA.']","['Anderson BJ, 2011, AIDS BEHAV, V15, P875, DOI 10.1007/s10461-010-9694-z']"
J,"['Jeub, LGS']",A local perspective on community structure in multilayer networks,NETWORK SCIENCE,2017,37,"['community structure; clustering; multilayer networks; random walks;', 'SPREADING PROCESSES; PAGERANK; DYNAMICS']",10.1017/nws.2016.22,"['Jeub, LGS (corresponding author), Univ Oxford, Math Inst, Oxford Ctr Ind & Appl Math, Oxford OX2 6GG, England.; Jeub, LGS (corresponding author), Indiana Univ, Ctr Complex Networks & Syst Res, Sch Informat & Comp, Bloomington, IN 47408 USA.']","['Andersen R, 2006, ANN IEEE SYMP FOUND, P475']"
J,"['Schaub, MT']",Structure of complex networks: Quantifying edge-to-edge relations by,NETWORK SCIENCE,2014,35,"['flow redistribution; edge-to-edge relations; pseudoinverse of the', 'GRAPH; CENTRALITY; COMMUNITIES; TIME; RESISTANCE; STABILITY; STATES;']",10.1017/nws.2014.4,"['Schaub, MT (corresponding author), Imperial Coll London, Dept Math, South Kensington Campus, London SW7 2AZ, England.']","['Ahn YY, 2010, NATURE, V466, P761, DOI 10.1038/nature09182']"
J,"['Dao, VL']",Community structure: A comparative evaluation of community detection,NETWORK SCIENCE,2020,33,"['community detection; community structure; comparative analysis;', ""WEB (WWW'13 COMPANION), P1343"", 'INFORMATION; CLUSTERINGS; NETWORKS']",10.1017/nws.2019.59,"['Bothorel, C (corresponding author), IMT Atlantique, Lab STICC, CNRS, UMR 6285, F-29238 Brest, France.']","['Agreste S, 2017, IEEE T BIG DATA, V3, P289, DOI 10.1109/TBDATA.2016.2631512']"
J,"['Snijders, TAB']",Beyond homophily: Incorporating actor variables in statistical network,NETWORK SCIENCE,2019,33,"['actor covariate; directed networks; homophily; assortativity;', 'SOCIAL NETWORKS; FRIENDSHIP; SELECTION; PEER; TRANSITIVITY; EMERGENCE;']",10.1017/nws.2018.30,"['Snijders, TAB (corresponding author), Univ Groningen, Dept Sociol, Grote Rozenstr 31, NL-9712 TG Groningen, Netherlands.; Snijders, TAB (corresponding author), Univ Oxford, Nuffield Coll, Oxford OX1 1NF, England.', 'CHANGE, V13, P263, DOI 10.1093/icc/13.1.263']","['ABRAMS D, 1990, BRIT J SOC PSYCHOL, V29, P97, DOI 10.1111/j.2044-8309.1990.tb00892.x']"
J,"['Rastelli, R']",Properties of latent variable network models,NETWORK SCIENCE,2016,32,['fitness models; latent position models; latent variable models; random'],10.1017/nws.2016.23,"['Rastelli, R (corresponding author), Univ Coll Dublin, Sch Math & Stat, Dublin, Ireland.; Rastelli, R (corresponding author), Insight Ctr Data Analyt, Dublin, Ireland.']","['Airoldi EM, 2008, J MACH LEARN RES, V9, P1981']"
J,"['Vigna, S']",Spectral ranking,NETWORK SCIENCE,2016,29,"['ranking; centrality; eigenvectors', 'CITATION INFLUENCE; CENTRALITY; PAGERANK; INFORMATION', 'W']",10.1017/nws.2016.21,"['Vigna, S (corresponding author), Univ Milan, Dipartimento Informat, I-20122 Milan, Italy.']","['[Anonymous], P 12 INT WORLD WID W']"
J,"['Vacca, R']",Structure in personal networks: Constructing and comparing typologies,NETWORK SCIENCE,2020,28,"['ego-networks; social capital; social support; social isolation; personal', 'SOCIAL NETWORKS; COMMUNITY; CONTEXTS; SUPPORT; DETERMINANTS; INNOVATION;']",10.1017/nws.2019.29,"['Vacca, R (corresponding author), Univ Florida, Dept Sociol & Criminol & Law, Gainesville, FL 32611 USA.']","['Agneessens F, 2006, SOC NETWORKS, V28, P427, DOI 10.1016/j.socnet.2005.10.001']"
J,"['Koskinen, J']",Simultaneous modeling of initial conditions and time heterogeneity in,NETWORK SCIENCE,2015,27,"['dynamic networks; longitudinal exponential random graph model; foreign', 'EXPONENTIAL FAMILY; SOCIAL NETWORKS; GRAVITY; INFERENCE']",10.1017/nws.2015.3,"['Koskinen, J (corresponding author), Univ Manchester, Social Stat Discipline Area, Manchester M13 9PL, Lancs, England.']","['Anderson JE, 2011, ANNU REV ECON, V3, P133, DOI 10.1146/annurev-economics-111809-125114']"
J,"['Lerner, J']",Reliability of relational event model estimates under sampling: How to,NETWORK SCIENCE,2020,26,['relational event models; dynamic networks; large networks; parameter'],10.1017/nws.2019.57,"['Lerner, J (corresponding author), Univ Konstanz, Dept Comp & Informat Sci, Constance, Germany.']","['Amati V, 2019, SOC NETWORKS, V57, P18, DOI 10.1016/j.socnet.2018.10.001']"
J,"['Simas, T']",Distance closures on complex networks,NETWORK SCIENCE,2015,26,"['complex networks; algebraic structures; Fuzzy Sets; fuzzy graphs;', 'PROTEIN-INTERACTION; SHORTEST PATHS; GENE ONTOLOGY; FUZZY; SETS; MATRIX;']",10.1017/nws.2015.11,"['Simas, T (corresponding author), Indiana Univ, Cognit Sci Program, Bloomington, IN 47406 USA.']","['Abi-Haidar A, 2008, GENOME BIOL, V9, DOI [10.1186/gb-2008-9-s2-s11, 10.1186/gb-2008-9-S2-S11]']"
J,"['Kaminski, B']",Artificial Benchmark for Community Detection (ABCD)-Fast random graph,NETWORK SCIENCE,2021,24,['community detection algorithms; synthetic models; random graphs'],10.1017/nws.2020.45,"['Pralat, P (corresponding author), Ryerson Univ, Dept Math, Toronto, ON, Canada.']","['Aiello W, 2008, INTERNET MATH, V5, P175, DOI 10.1080/15427951.2008.10129305']"
J,"['Wyse, J']",Inferring structure in bipartite networks using the latent blockmodel,NETWORK SCIENCE,2017,24,"['Bipartite network; bi-clustering; blockmodel; model selection;', 'MIXTURE; MODELS']",10.1017/nws.2016.25,"['Wyse, J (corresponding author), Trinity Coll Dublin, Sch Comp Sci & Stat, Discipline Stat, Coll Green, Dublin 2, Ireland.']","['[Anonymous], 2012, P 20 INT C COMP STAT']"
J,"['Potter, GE']",Modeling workplace contact networks: The effects of organizational,NETWORK SCIENCE,2015,23,"['contact network; epidemic model; infectious disease; space syntax;', 'EXPONENTIAL FAMILY MODELS; RANDOM GRAPH MODELS; SOCIAL NETWORKS;']",10.1017/nws.2015.22,"['Potter, GE (corresponding author), Calif Polytech State Univ San Luis Obispo, San Luis Obispo, CA 93407 USA.']","['Adams J, 2007, SOC NETWORKS, V29, P44, DOI 10.1016/j.socnet.2005.11.009']"
J,"['Hollstein, B']",Collecting egocentric network data with visual tools: A comparative,NETWORK SCIENCE,2020,22,"['egocentric networks; mixed methods; qualitative network analysis; data', 'SOCIAL NETWORK; MIXED-METHODS; ORGANIZATION; SUPPORT; LIFE; FERTILITY;']",NETWORK DAT,"['Hollstein, B (corresponding author), Univ Bremen, SOCIUM Res Ctr Inequal & Social Policy, Bremen, Germany.']","['[Anonymous], 2011, SAGE HDB SOCIAL NETW']"
J,"['Hollway, J']",Multilevel social spaces: The network dynamics of organizational fields,NETWORK SCIENCE,2017,22,"['affiliation network; collaboration; competition; goodness-of-fit;', 'PATIENT-TRANSFERS; GRAPH DISTRIBUTIONS; TRIAD CENSUS; ONE-MODE; CARE;']","J ANAESTH, V8, P104, DOI 10.4103/1658-354X.125964","['Hollway, J (corresponding author), Grad Inst Int & Dev Studies, Dept Int Relat Polit Sci, Chemin Eugene Rigot 2A, CH-1211 Geneva, Switzerland.', 'CHANGE, V12, P697, DOI 10.1093/icc/12.4.697']","['Abbott A, 1997, SOC FORCES, V75, P1149, DOI 10.2307/2580667']"
J,"['Omodei, E']",Evaluating the impact of interdisciplinary research: A multilayer,NETWORK SCIENCE,2017,22,"['citation networks; interconnected multilayer networks;', 'UNIVERSALITY; INDEX']",10.1017/nws.2016.15,"['Omodei, E (corresponding author), Rovira i Virgili Univ, Dept Math & Comp Sci, Av Paisos Catalans 26, Tarragona 43007, Spain.']","['[Anonymous], 2015, NATURE, V525, P289, DOI 10.1038/525289b']"
J,"['Mcassey, MP']",A clustering coefficient for complete weighted networks,NETWORK SCIENCE,2015,22,"['binary network; clustering coefficient; complete network; directed', 'DYNAMICS']",10.1017/nws.2014.26,"['Mcassey, MP (corresponding author), Vrije Univ Amsterdam, Dept Mathetmat, Amsterdam, Netherlands.']","['Albert R, 2002, REV MOD PHYS, V74, P47, DOI 10.1103/RevModPhys.74.47']"
J,"['Fujimoto, K']",Multivariate dynamics of one-mode and two-mode networks: Explaining,NETWORK SCIENCE,2018,20,"['peer influence; friendship networks; social context; stochastic', 'EXTRACURRICULAR ACTIVITIES; ALCOHOL-USE; SELECTION; BEHAVIOR; EVOLUTION;']",10.1017/nws.2018.11,"['Fujimoto, K (corresponding author), Univ Texas Hlth Sci Ctr Houston, Ctr Hlth Promot & Prevent Res, Dept Hlth Promot & Behav Sci, Sch Publ Hlth, 7000 Fannin St,UCT 2514, Houston, TX 77030 USA.']","['[Anonymous], 2002, SOCIAL INDICATORS RE, DOI DOI 10.1007/978-94-010-0271-4_10']"
J,"['Volker, B']","Social capital across the life course: Accumulation, diminution, or",NETWORK SCIENCE,2020,19,"['social capital change; life course and social capital', 'OCCUPATIONAL-STATUS; NETWORK RESOURCES; EVENTS; HEALTH; CONTACTS; AGE;']",10.1017/nws.2020.26,"['Volker, B (corresponding author), Univ Utrecht, Dept Human Geog & Spatial Planning, Utrecht, Netherlands.']","['Allison P.D., 2009, Fixed effect regression models']"
J,"['Hogan, B']",Assessing the stability of egocentric networks over time using the,NETWORK SCIENCE,2020,19,"['egocentric networks; participant-aided sociograms; reliability; panel', 'PERSONAL NETWORKS; SOCIAL-ISOLATION; DYNAMICS; AMERICA; CORE; WEB']",10.1017/nws.2019.27,"['Hogan, B (corresponding author), Univ Oxford, Oxford, England.']","['[Anonymous], 2015, SOCIAL NETWORK ANAL']"
J,"['Briatte, F']",Network patterns of legislative collaboration in twenty parliaments,NETWORK SCIENCE,2016,19,"['TO WEB SCRAPING AND TEXT MINING, P1', 'COSPONSORSHIP']",10.1017/nws.2015.31,"['Briatte, F (corresponding author), European Sch Polit Sci, F-59000 Lille, France.']","['Alemán Eduardo, 2015, colomb.int., P23']"
J,"['Box-Steffensmeier, JM']","Comparing membership interest group networks across space and time,",NETWORK SCIENCE,2015,19,"['interest groups; membership organizations; coalition strategies; amicus', 'RANDOM GRAPH MODELS; P-ASTERISK MODELS; SOCIAL NETWORKS; UNITED-STATES;']",10.1017/nws.2015.6,"['Box-Steffensmeier, JM (corresponding author), Ohio State Univ, Dept Polit Sci, 2140 Derby Hall,154 N Oval Mall, Columbus, OH 43210 USA.']","['Andrews KT, 2010, AM J SOCIOL, V115, P1191, DOI 10.1086/649060']"
J,"['Hoffman, M']",A model for the dynamics of face-to-face interactions in social groups,NETWORK SCIENCE,2020,18,"['Network models; social interactions; group interactions; statistical', 'ACTOR-ORIENTED MODELS; NETWORKS; SOCIOLOGY; EVOLUTION; AGREEMENT;']",10.1017/nws.2020.3,"['Hoffman, M (corresponding author), Swiss Fed Inst Technol, Chair Social Networks, Zurich, Switzerland.']","['Allen J, 2007, R&D MANAGE, V37, P179, DOI 10.1111/j.1467-9310.2007.00468.x']"
J,"['Treur, J']",Modeling higher order adaptivity of a network by multilevel network,NETWORK SCIENCE,2020,18,"['network reification; higher order network adaptation; adaptive social', 'INDUCED METAPLASTICITY; EXCITABILITY; ATTRACTION; PLASTICITY; PREGNANCY;']",10.1017/nws.2019.56,"['Treur, J (corresponding author), Vrije Univ Amsterdam, Social AI Grp, Amsterdam, Netherlands.']","['Abraham WC, 1996, TRENDS NEUROSCI, V19, P126, DOI 10.1016/S0166-2236(96)80018-X']"
J,"['Martin, C']",Influence of measurement errors on networks: Estimating the robustness,NETWORK SCIENCE,2019,18,"['centrality measures; measurement error; missing data; robustness', 'SOCIAL NETWORKS; COMMUNITY; STABILITY; ACTOR']",10.1017/nws.2019.12,"['Martin, C (corresponding author), Leuphana Univ Luneburg, Inst Informat Syst, Univ Allee 1, D-21335 Luneburg, Germany.']","['Barabási AL, 1999, SCIENCE, V286, P509, DOI 10.1126/science.286.5439.509']"
B,"['Barabási, AL']",Graph Theory,NETWORK SCIENCE,2016,18,[],,"['Barabási, AL (corresponding author), Northeastern Univ, Network Sci, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Northeastern Univ, Ctr Complex Network Res, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Harvard Med Sch, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Cent European Univ, Budapest, Hungary.']",[]
J,"['Piontti, APY']",The infection tree of global epidemics,NETWORK SCIENCE,"(corresponding author), Northeastern Univ, Lab Modeling Biol & Sociotech Syst, Boston, MA 02115 USA.",18,['fellowship [201410/2011-7]; NSF [CMMI-1125095]; '],10.1017/nws.2014.5,"['Piontti, APY (corresponding author), Northeastern Univ, Lab Modeling Biol & Sociotech Syst, Boston, MA 02115 USA.']","['Balcan D, 2010, J COMPUT SCI-NETH, V1, P132, DOI 10.1016/j.jocs.2010.07.002']"
J,"['Cohen-Cole, E']",Static and dynamic networks in interbank markets,NETWORK SCIENCE,2015,17,"['financial networks; interbank lending; interconnections; network', 'SYSTEMIC RISK; TOPOLOGY; MODEL']",10.1017/nws.2015.1,"['Cohen-Cole, E (corresponding author), Econ One Res, 2040 Bancroft Ave 200, Berkeley, CA 94708 USA.']","['Albert R, 2002, REV MOD PHYS, V74, P47, DOI 10.1103/RevModPhys.74.47']"
J,"['Goyal, R']",Sampling networks from their posterior predictive distribution,NETWORK SCIENCE,2014,17,"['network generation; posterior predictive distribution; network', 'COLLECTIVE DYNAMICS; PREVALENCE; TOPOLOGY']",10.1017/nws.2014.2,"['Goyal, R (corresponding author), Harvard Sch Publ Hlth, Dept Biostat, Boston, MA USA.']","['Amanatidis Y, 2008, GRAPHIC REALIZATIONS']"
J,"['An, WH']",The origins of asymmetric ties in friendship networks: From status,NETWORK SCIENCE,2015,16,"['friendship networks; asymmetric ties; perception; social status', 'P-ASTERISK MODELS; SOCIAL NETWORKS; POPULARITY; HIERARCHIES;']",10.1017/nws.2015.12,"['An, WH (corresponding author), Indiana Univ, Dept Sociol, 752 Ballantine Hall,1020 E Kirkwood Ave, Bloomington, IN 47405 USA.']","['An W., 2011, THESIS']"
J,"['Badham, J']",Simulating network intervention strategies: Implications for adoption of,NETWORK SCIENCE,2018,15,"['social contagion; network interventions; simulation', 'DIFFUSION; HEALTH']",10.1017/nws.2018.4,"['Badham, J (corresponding author), Queens Univ Belfast, UKCRC Ctr Excellence Northern Ireland, Univ Rd, Belfast BT7 1NN, Antrim, North Ireland.']","['An WH, 2016, R J, V8, P257']"
J,"['Sekunda, A']",Interplay between signaling network design and swarm dynamics,NETWORK SCIENCE,2016,15,"['interaction network; swarming systems; temporal networks', 'INFORMATION-TRANSFER; CONSENSUS; BEHAVIOR; SHAPE']",10.1017/nws.2016.5,"['Sekunda, A (corresponding author), Aalborg Univ, Fredrik Bajers Vej 5, DK-9220 Aalborg O, Denmark.; Komareji, M (corresponding author), Singapore Univ Technol & Design, SUTD MIT Int Design Ctr, 8 Somapah Rd, Singapore 487372, Singapore.; Bouffanais, R (corresponding author), Singapore Univ Technol & Design, 8 Somapah Rd, Singapore 487372, Singapore.']","['Arenas A, 2008, PHYS REP, V469, P93, DOI 10.1016/j.physrep.2008.09.002']"
